vendor_name,vendor_id,profile,description,products
Microsoft,microsoft,Cloud/OS/Desktop/AI/Tooling/CyberSecurity,"Azure, Microsoft 365, Dynamics 365, AI, security, developer platforms","Azure, Microsoft 365, Dynamics 365, Copilot, Power Platform, GitHub, Defender"
Amazon Web Services (AWS),aws,Cloud/AI,"Cloud infrastructure, AI/ML, data platforms, enterprise compute","EC2, S3, Lambda, SageMaker, Redshift, Bedrock, EKS"
Google Cloud,google,Cloud/AI/Tooling,"Cloud infrastructure, AI, analytics, Workspace","Google Cloud Platform, BigQuery, Vertex AI, Workspace, Kubernetes Engine"
Oracle,oracle,Cloud/Database/ERP,"OCI cloud, ERP, databases, enterprise apps","Oracle Cloud Infrastructure, Oracle Database, Fusion ERP, NetSuite, Java"
IBM,ibm,Cloud/AI/Server/Consulting,"Hybrid cloud, consulting, AI, mainframes","Red Hat OpenShift, Watson, zSystems, Cloud Paks, Instana"
Huawei,huawei,Carrier/Cloud/Network/Server,"Cloud, telecom infrastructure, enterprise hardware","Huawei Cloud, FusionCube, OceanStor, Ascend AI"
SAP,sap,ERP/BusinessPlatform,"ERP, enterprise applications, business process platforms","S/4HANA, SuccessFactors, Ariba, Concur, Business Technology Platform"
Salesforce,salesforce,CRM/AI/Workflow,"CRM, customer platforms, workflow automation","Sales Cloud, Service Cloud, Marketing Cloud, Slack, Tableau"
Workday,workday,ERP/HCM,"HCM, finance","Workday HCM, Workday Financial Management, Adaptive Planning"
ServiceNow,servicenow,Workflow/ITSM,"ITSM, workflow automation","IT Service Management, Now Platform, Customer Workflows"
Adobe,adobe,Marketing/Content,"Experience cloud, marketing automation","Experience Cloud, Creative Cloud, Marketo, Analytics"
Atlassian,atlassian,Tooling/DevOps,"Collaboration, DevOps","Jira, Confluence, Bitbucket, Trello"
Infor,infor,ERP,Industry ERP,"Infor CloudSuite, LN, M3, Nexus"
Sage,sage,ERP/Finance,Finance/accounting,"Sage Intacct, Sage X3, Sage 300"
Epicor,epicor,ERP/Manufacturing,Manufacturing ERP,"Epicor Kinetic, Prophet 21"
NetSuite (Oracle),netsuite,ERP/Cloud,Mid-market ERP,"NetSuite ERP, SuiteCommerce, OneWorld"
Zoho,zoho,Productivity/CRM,Business productivity suite,"Zoho CRM, Zoho One, Desk, Projects"
HubSpot,hubspot,CRM/Marketing,CRM and marketing automation,"HubSpot CRM, Marketing Hub, Service Hub"
Pegasystems,pegasystems,Workflow/Automation,BPM and automation,"Pega Platform, Customer Decision Hub"
Guidewire,guidewire,InsurancePlatform,Insurance platforms,"InsuranceSuite, ClaimCenter, PolicyCenter"
Cisco,cisco,Network/CyberSecurity/Collaboration,"Networking, security, collaboration","Catalyst, Meraki, Webex, SecureX"
HPE,hpe,Server/Storage/Cloud,"Servers, storage, hybrid cloud","ProLiant, GreenLake, Aruba Networks, Alletra"
Dell Technologies,dell,Server/Desktop/Storage,"Infrastructure, VMware ecosystem","PowerEdge, PowerStore, VxRail, APEX"
