vendor_name,product_series,product_group,product_type,model_name,description,lifecycle,vendor_id,model_id,product_id
A10 Networks,Thunder ADC,Network,Load Balancer,ACE30,Application delivery controller,Active,a10,ace30,a10-ace30
A10 Networks,Thunder TPS,Network,Security,TH4445S,DDoS protection appliance,Active,a10,th4445s,a10-th4445s
Arista,7050X3,Network,Switch,7050SX3,Data center leaf switch,Active,arista,7050sx3,arista-7050sx3
Arista,7060X,Network,Switch,7060CX2,Spine and leaf switch,Active,arista,7060cx2,arista-7060cx2
Arista,7280R,Network,Router,7280R3,Routing and telemetry platform,Active,arista,7280r3,arista-7280r3
Arista,7500R3,Network,Switch,7508R3,Modular data center spine switch,Active,arista,7508r3,arista-7508r3
Arista,7800R3,Network,Router,7800R3,High-density core router,Active,arista,7800r3,arista-7800r3
Cisco,Catalyst 9000,Network,L3 Switch,Catalyst 9300,Enterprise campus access switch,Active,cisco,catalyst-9300,cisco-catalyst-9300
Cisco,Catalyst 9000,Network,L3 Switch,Catalyst 9500,Core and aggregation switch,Active,cisco,catalyst-9500,cisco-catalyst-9500
Cisco,Nexus 9000,Network,L3 Switch,Nexus 93180YC-FX,Data center leaf switch,Active,cisco,nexus-93180yc-fx,cisco-nexus-93180yc-fx
Cisco,Nexus 9000,Network,L3 Switch,Nexus 9508,Modular spine switch chassis,Active,cisco,nexus-9508,cisco-nexus-9508
Cisco,ASR 1000,Network,Router,ASR 1001-X,Enterprise WAN edge router,Active,cisco,asr-1001-x,cisco-asr-1001-x
Cisco,ISR 4000,Network,Router,ISR 4451-X,Branch services router,Active,cisco,isr-4451-x,cisco-isr-4451-x
Cisco,Firepower,Network,Firewall,Firepower 2130,Next-generation firewall,Active,cisco,firepower-2130,cisco-firepower-2130
Cisco,UCS,Network,Load Balancer,UCS C240 M6,Rackmount enterprise server,Active,cisco,ucs-c240-m6,cisco-ucs-c240-m6
Cisco,UCS Blade,Network,Load Balancer,UCS B200 M6,Blade server for converged infrastructure,Active,cisco,ucs-b200-m6,cisco-ucs-b200-m6
Citrix,ADC MPX,Network,Load Balancer,ADC MPX 8910,Physical application delivery controller,Active,citrix,adc-mpx-8910,citrix-adc-mpx-8910
Citrix,ADC VPX,Network,Load Balancer,ADC VPX 200,Virtual load balancer appliance,Active,citrix,adc-vpx-200,citrix-adc-vpx-200
Citrix,ADC SDX,Network,Load Balancer,ADC SDX 14030,Multi-tenant ADC platform,Active,citrix,adc-sdx-14030,citrix-adc-sdx-14030
Citrix,NetScaler,Network,Load Balancer,NetScaler 8200,Enterprise load balancing and application delivery,Active,citrix,netscaler-8200,citrix-netscaler-8200
Dell,PowerEdge,Server,Chasis Compute,PowerEdge R760,Enterprise rack server,Active,dell,poweredge-r760,dell-poweredge-r760
Dell,PowerEdge,Server,Chasis Compute,PowerEdge R660,High-density compute server,Active,dell,poweredge-r660,dell-poweredge-r660
